직업명,직업급수,급수명,대분류코드,중분류코드,소분류코드,KIDI코드,약칭,유사검색어,직업설명
경제이익단체고위임원,1,1급,0,00,0022,129,경제이익단체고위임원,,"사용자단체, 근로자단체 등 경제이익단체의 정책, 정관 및 규칙을 결정 작성하고 그 수행 및 적용하는 부서를 조직, 지휘 및 통제하며, 대외적으로 소속단체를 대표 대리하는 자를 말한다.  (예: 사용자단체 고위임원, 노동조합 고위임원)"
"공무원(5급 이상)(현장, 기능업무 수행자 제외)",1,1급,1,11,1110,011,"공무원(5급 이상)(현장, 기능업무 수행자 제외)",대통령|대법원장|헌법재판소장|국무총리|장관|차관|차관보 등 1급 이상 공무원,"국가공무원법 또는 지방공무원법 등에 정한 공무원 중 5급 이상 공무원을 말하며, 현장, 기능업무 수행자는 제외한다.
- 현장, 기능업무 수행자는 사무업무를 수행하지 않거나 현장관리, 검사, 감독 등 대부분의 업무를 사무실이 아닌 곳에서 수행하는 자를 말한다."
"공무원(5급 이상)(현장, 기능업무 수행자)",1,1급,1,11,1110,011,"공무원(5급 이상)(현장, 기능업무 수행자)",시장|부시장|도지사|부지사|군수|부군수|구청장|부구청장,"국가공무원법 또는 지방공무원법 등에 정한 공무원 중 5급 이상 공무원을 말하며, 현장, 기능업무 수행자에 한하여 적용한다.
- 현장, 기능업무 수행자는 사무업무를 수행하지 않거나 현장관리, 검사, 감독 등 대부분의 업무를 사무실이 아닌 곳에서 수행하는 자를 말한다."
의회의원/공공단체임원,1,1급,1,11,1110,011,의회의원/공공단체임원,지방의회의원|시의원|도의원|구의원|군의원|시군 및 자치구의회 의원,"의회의원으로서 국가 및 지방자치단체의 법령 및 조례를 제정,개정 또는 폐지에 종사하거나, 공공단체 임원으로서 공공단체의 정책을 수립하고 그 집행을 지휘하며 조직을 대표,대리한다."
"기업 대표이사 및 고위임원(자영업 제외, 작업 미참여)",1,1급,1,11,1120,129,"기업 대표이사 및 고위임원(자영업 제외, 작업 미참여)",기업체임원|기업 고위임원|기업체 회장|사장|부사장|전무|상무|이사|정부투자기관 고위임원|일반기업체 고위임원,"최고 경영진으로서 이사회나 이와 유사한 운영기관 또는 법령에 의해 위임된 권한 하에 사업체의 전반적인 정책을 수립하고 사업계획을 결정, 기관이나 기업을 대표하며 기업 내 중간 관리자를 관리, 주로 사업본부 또는 부문 형태의 조직을 담당하는 자"
경영지원 사무직 관리자,1,1급,1,12,1202,129,경영지원 사무직 관리자,인사 및 노무부서 관리자|인사부서장|총무부서장|노무부서장|인사팀장|인사부장|총무팀장(과장~부장)|회사원|직장인|광고 및 홍보부서 관리자|홍보실장|홍보부서장|홍보팀장(과장~부장)|재무부서 관리자|경리부서장|회계부서장|CFO(자금관리이사)|융자부서장|자금부서장|재무기획팀장(과장~부장)|구매부서 관리자|공급부서 관리자|분배부서 관리자|자재부서 관리자|창고부서 관리자(과장~부장)|경영부서 관리자|기획팀장|기획실장|기획부서장|경영기획팀장|경영전략팀장(과장~부장)|기타 경영지원|금융|사업 서비스 관리자(과장~부장),"경영자의 포괄적인 지휘하에 다른 부서의 관리자와의 논하여 경영, 인사 등의 경영 지원 업무와 생산 활동을 지원하는 업무에 관련된 활동을 기획, 지휘 및 조정하는 자 및 경영 지원 관리자"
연구 사무직 관리자,1,1급,1,13,1311,129,연구 사무직 관리자,사회과학 관련 연구개발부서 관리자|사회과학 연구 관리자|자연과학|공학 관련 연구개발부서 관리자|공학 연구 관리자,"인문과학, 사회과학, 생명과학, 자연과학 및 공학 분야의 연구, 활동을 기획하고 조정, 지휘하는 자"
교육 사무직 관리자,1,1급,1,13,1312,019,교육 사무직 관리자,대학교 총장|대학(2～3년제) 학장|초중고 교장 및 교감|유치원 원장,"유아교육기관, 초등학교, 중학교, 고등학교, 대학교, 대학원 등 국·공·사립 및 주·야간 교육기관, 특수교육기관과 성인교육 및 직업훈련을 위한 학원의 업무를 기획, 지휘 및 조정하는 자"
경찰 사무직 관리자(경무관 이상),1,1급,1,13,1313,022,경찰 사무직 관리자(경무관 이상),경찰고위간부(경무관 이상)|경무관|치안감|치안정감|치안총감|경찰서장,"공공질서와 치안유지 등 경찰과 관련된 공공서비스를 제공하는 기관과 업무의 운영을 기획, 지휘 및 조정하는 자를 말한다."
경찰 사무직 관리자(총경-경위),1,1급,1,13,1313,022,경찰 사무직 관리자(총경-경위),경찰 간부(총경-경위)|경위|경감|총경|경정|경찰서장,"공공질서와 치안유지 등 경찰과 관련된 공공서비스를 제공하는 기관과 업무의 운영을 기획,지휘 및 조정하는 자를 말한다. (단, 현장검거, 외근업무 등 있을 경우, 2급에 준하여 적용함)"
교도 사무직 관리자(교도소장 등),1,1급,1,13,1313,024,교도 사무직 관리자(교도소장 등),교도소장|소년원장,"교도행정과 관련된 업무의 운영을 기획, 지휘 및 조정하는 자"
법률 사무직 관리자(로펌대표 등),1,1급,1,13,1313,129,법률 사무직 관리자(로펌대표 등),법률 서비스 관리자|로펌 대표|법률 서비스 부서장|지방검찰청장|지방법원장|회사원|직장인,"사법행정 등 법률에 관련된 공공서비스를 제공하는 사업체나 공공기관의 운영을 기획, 지휘 및 조정하는 자를 말한다. 로펌회사 관리자도 여기에 포함된다."
소방 사무직 관리자(소방감 이상),1,1급,1,13,1313,023,소방 사무직 관리자(소방감 이상),소방고위간부(소방감 이상)|소방감|소방정감|소방총감,"소방행정과 관련된 업무의 운영을 기획, 지휘 및 조정하는 자를 말한다"
소방 사무직 관리자(소방정-소방위),1,1급,1,13,1313,023,소방 사무직 관리자(소방정-소방위),소방 간부(소방정-소방위)|소방정|소방령|소방경|소방위,"소방행정과 관련된 업무의 운영을 기획, 지휘 및 조정하는 자를 말한다"
보험 및 금융 사무직 관리자,1,1급,1,13,1320,129,보험 및 금융 사무직 관리자,"금융 및 보험업 관련 관리자|은행관리자|증권회사 관리자|회사원|직장인|보험 및 연금 사무 관리자(보증보험 관리자|생명보험 관리자|손해보험 관리자|연금 관리자 등)|보험영업 관리자(지점장|영업소장)|은행사무관리자(지점장,여?수신관리자,투자관리자,신탁회사 관리자,채권 관리자 등)|농?수?축협조합장(지역)|증권사무관리자(지점장,거래소관리자,증권?선물매매관리자, 증권회사 심사 관리자, 증권개발 관리자 등)|신용사무관리자(신용조사관리자,심사사무관리자,신용카드사무관리자,지역신용 관리자, 신용조합 관리자 등)|금융감독기관관리자","보험 및 연금 사업체, 은행, 증권사, 신탁회사, 신용조합이나 유사한 금융기관 등의 부서 운영을 계획, 조직, 지휘하고 관리한다. 또는 개인 및 사업대출, 예금인수, 증권·선물매매, 투자자금 운용, 신탁관리, 부동산이나 기타 관련 활동의 청산을 맡고 있는 기관 등의 부서 운영을 계획, 조직, 지휘하고 관리한다."
보건의료관련 사무직 관리자(원무과 제외),1,1급,1,13,1331,129,보건의료관련 사무직 관리자(원무과 제외),대학병원|적십자회사 과장~부장|요양병원 원장|보건소장|한방병원 원장|병원 및 의원 관리자|회사원|직장인|장애인의료재활원원장,"보건 및 의료서비스를 제공하는 기관 내에서 진단, 처치, 간호 및 치료 등의 건강관리서비스를 기획, 지휘 및 조정하는 자를 말한다. 단, 직접 환자를 진료, 치료하거나 간호하는 경우는 해당 직업으로본다."
사회복지관련 사무직 관리자,1,1급,1,13,1332,129,사회복지관련 사무직 관리자,사회복지기관단체 관리자|복지시설|환경단체|자원봉사단체|소비자보호단체|청소년상담소|가정폭력사무소|인권위원회|보육시설 관리자|사회복지사업 관련운영부서 관리자|회사원|직장인,"사회복지 기관단체에서 관련 업무를 기획, 지휘 및 조정하는 관리자를 말한다."
문화/예술/디자인 및 영상 관련 사무직 관리자,1,1급,1,13,1340,129,문화/예술/디자인 및 영상 관련 사무직 관리자,문화예술기관단체 관리자|미술관 관장|화랑관장|기록보관소장|발레단 단장|사적관리자|무용단 단장|도서관장|오페라단 단장|박물관 관리자|극단 관리자|출판 운영부서 관리자|회사원|직장인|디자인관련 기업 관리자|디자인관련 부서 관리자|방송 운영부서 관리자(텔레비전 편성국장|라디오방송 운영자|비디오제작사 실장 등)|신문 운영부서 관리자(편집국장|취재국장 등),"신문사, 방송사, 영화사, 연극단체, 도서관, 기록보관소, 박물관, 화랑 등 문화,예술, 디자인, 영상관련 분야 기관의 운영을 기획, 지휘 및 조정한다."
정보통신관련 사무직 관리자,1,1급,1,13,1350,129,정보통신관련 사무직 관리자,하드웨어회사|하드웨어 개발부서 관리자|회사원|직장인|소프트웨어회사|소프트웨어 개발부서 관리자|전산운영 및 처리업무부서 관리자(과장~부장)|정보처리회사 및 정보 운영부서 관리자|통신업 운영부서 관리자|통신회사 영업부서 관리자(과장~부장),"정보 통신, 정보 시스템 또는 전산 부서의 종사자들을 지휘·감독하고 경영주 또는 기술진의 특정한 정보 요구사항을 검토하여 프로젝트의 성격을 규정하고, 새로운 프로그램 검증과 운영체제를 도입하기 위하여 컴퓨터 운영 계획 및 전산장비의 구입에 관한 사항을 협의하고 조정한다."
그 외 전문서비스 사무직 관리자,1,1급,1,13,1390,129,그 외 전문서비스 사무직 관리자,기타 서비스 부서 관리자,상기 세세분류에 포함되지 않는 유사한 직무를 수행하는 전문 서비스 관리자를 말한다.
